E: -1075.388829 	H(E): 17562.000000 	ln(g(E)): 10989.474567
E: -1075.209845 	H(E): 14290.000000 	ln(g(E)): 10996.381577
E: -1075.030861 	H(E): 15377.000000 	ln(g(E)): 11001.837885
E: -1074.851877 	H(E): 16455.000000 	ln(g(E)): 11005.976591
E: -1074.672893 	H(E): 17963.000000 	ln(g(E)): 11009.016661
E: -1074.493909 	H(E): 16576.000000 	ln(g(E)): 11011.423702
E: -1074.314924 	H(E): 15047.000000 	ln(g(E)): 11013.381498
E: -1074.135940 	H(E): 15409.000000 	ln(g(E)): 11014.995543
E: -1073.956956 	H(E): 15284.000000 	ln(g(E)): 11016.306194
E: -1073.777972 	H(E): 16275.000000 	ln(g(E)): 11017.362562
E: -1073.598988 	H(E): 16062.000000 	ln(g(E)): 11018.196781
E: -1073.420004 	H(E): 16255.000000 	ln(g(E)): 11018.851362
E: -1073.241020 	H(E): 16510.000000 	ln(g(E)): 11019.342548
E: -1073.062036 	H(E): 15951.000000 	ln(g(E)): 11019.708971
E: -1072.883052 	H(E): 16305.000000 	ln(g(E)): 11019.948854
E: -1072.704068 	H(E): 15773.000000 	ln(g(E)): 11020.093779
E: -1072.525083 	H(E): 16062.000000 	ln(g(E)): 11020.157623
E: -1072.346099 	H(E): 16288.000000 	ln(g(E)): 11020.141308
E: -1072.167115 	H(E): 15768.000000 	ln(g(E)): 11020.054783
E: -1071.988131 	H(E): 16207.000000 	ln(g(E)): 11019.917196
E: -1071.809147 	H(E): 16111.000000 	ln(g(E)): 11019.721323
E: -1071.630163 	H(E): 16190.000000 	ln(g(E)): 11019.477962
E: -1071.451179 	H(E): 16563.000000 	ln(g(E)): 11019.190332
E: -1071.272195 	H(E): 16160.000000 	ln(g(E)): 11018.859020
E: -1071.093211 	H(E): 16412.000000 	ln(g(E)): 11018.488274
E: -1070.914226 	H(E): 16274.000000 	ln(g(E)): 11018.081310
E: -1070.735242 	H(E): 16370.000000 	ln(g(E)): 11017.640385
E: -1070.556258 	H(E): 16046.000000 	ln(g(E)): 11017.164467
E: -1070.377274 	H(E): 16489.000000 	ln(g(E)): 11016.658697
E: -1070.198290 	H(E): 16513.000000 	ln(g(E)): 11016.120733
E: -1070.019306 	H(E): 16656.000000 	ln(g(E)): 11015.565369
E: -1069.840322 	H(E): 17302.000000 	ln(g(E)): 11014.987926
E: -1069.661338 	H(E): 17161.000000 	ln(g(E)): 11014.388266
E: -1069.482354 	H(E): 16655.000000 	ln(g(E)): 11013.774012
E: -1069.303369 	H(E): 16671.000000 	ln(g(E)): 11013.142649
E: -1069.124385 	H(E): 16765.000000 	ln(g(E)): 11012.513327
E: -1068.945401 	H(E): 16640.000000 	ln(g(E)): 11011.863541
E: -1068.766417 	H(E): 16662.000000 	ln(g(E)): 11011.209385
E: -1068.587433 	H(E): 15924.000000 	ln(g(E)): 11010.551865
E: -1068.408449 	H(E): 16744.000000 	ln(g(E)): 11009.876060
E: -1068.229465 	H(E): 17531.000000 	ln(g(E)): 11009.216078
E: -1068.050481 	H(E): 16913.000000 	ln(g(E)): 11008.529554
E: -1067.871497 	H(E): 17612.000000 	ln(g(E)): 11007.840935
E: -1067.692513 	H(E): 17377.000000 	ln(g(E)): 11007.162970
E: -1067.513528 	H(E): 17672.000000 	ln(g(E)): 11006.468750
E: -1067.334544 	H(E): 17302.000000 	ln(g(E)): 11005.772629
E: -1067.155560 	H(E): 16787.000000 	ln(g(E)): 11005.050005
E: -1066.976576 	H(E): 17143.000000 	ln(g(E)): 11004.317694
E: -1066.797592 	H(E): 17956.000000 	ln(g(E)): 11003.557003
E: -1066.618608 	H(E): 18059.000000 	ln(g(E)): 11002.762568
E: -1066.439624 	H(E): 17820.000000 	ln(g(E)): 11002.005993
E: -1066.260640 	H(E): 16520.000000 	ln(g(E)): 11001.272312
E: -1066.081656 	H(E): 15100.000000 	ln(g(E)): 11000.491249
E: -1065.902671 	H(E): 16941.000000 	ln(g(E)): 10999.517550
E: -1065.723687 	H(E): 16323.000000 	ln(g(E)): 10998.476347
E: -1065.544703 	H(E): 15147.000000 	ln(g(E)): 10997.623949
E: -1065.365719 	H(E): 16668.000000 	ln(g(E)): 10996.589043
E: -1065.186735 	H(E): 15730.000000 	ln(g(E)): 10994.069046
E: -1065.007751 	H(E): 13231.000000 	ln(g(E)): 10991.258413
E: -1064.828767 	H(E): 13142.000000 	ln(g(E)): 10993.648678
