E: -1058.411566 	H(E): 14572.000000 	ln(g(E)): 5478.872818
E: -1058.343440 	H(E): 10928.000000 	ln(g(E)): 5486.240246
E: -1058.275313 	H(E): 11897.000000 	ln(g(E)): 5489.201361
E: -1058.207187 	H(E): 13416.000000 	ln(g(E)): 5490.665295
E: -1058.139060 	H(E): 13337.000000 	ln(g(E)): 5491.242720
E: -1058.070934 	H(E): 13019.000000 	ln(g(E)): 5491.194857
E: -1058.002807 	H(E): 13453.000000 	ln(g(E)): 5491.460501
E: -1057.934681 	H(E): 13593.000000 	ln(g(E)): 5491.889486
E: -1057.866554 	H(E): 13123.000000 	ln(g(E)): 5491.930525
E: -1057.798427 	H(E): 12854.000000 	ln(g(E)): 5491.772850
E: -1057.730301 	H(E): 12926.000000 	ln(g(E)): 5491.742157
E: -1057.662174 	H(E): 13059.000000 	ln(g(E)): 5491.743147
E: -1057.594048 	H(E): 13435.000000 	ln(g(E)): 5491.555433
E: -1057.525921 	H(E): 13218.000000 	ln(g(E)): 5491.291138
E: -1057.457795 	H(E): 13094.000000 	ln(g(E)): 5491.098621
E: -1057.389668 	H(E): 13231.000000 	ln(g(E)): 5490.934763
E: -1057.321542 	H(E): 13606.000000 	ln(g(E)): 5490.668343
E: -1057.253415 	H(E): 13198.000000 	ln(g(E)): 5490.394585
E: -1057.185289 	H(E): 12882.000000 	ln(g(E)): 5490.139927
E: -1057.117162 	H(E): 13391.000000 	ln(g(E)): 5489.937860
E: -1057.049036 	H(E): 13230.000000 	ln(g(E)): 5489.643471
E: -1056.980909 	H(E): 13206.000000 	ln(g(E)): 5489.305206
E: -1056.912783 	H(E): 12998.000000 	ln(g(E)): 5489.019531
E: -1056.844656 	H(E): 12979.000000 	ln(g(E)): 5488.728926
E: -1056.776530 	H(E): 13782.000000 	ln(g(E)): 5488.444729
E: -1056.708403 	H(E): 13775.000000 	ln(g(E)): 5488.112532
E: -1056.640276 	H(E): 13723.000000 	ln(g(E)): 5487.798029
E: -1056.572150 	H(E): 14072.000000 	ln(g(E)): 5487.538727
E: -1056.504023 	H(E): 14010.000000 	ln(g(E)): 5487.162933
E: -1056.435897 	H(E): 14033.000000 	ln(g(E)): 5486.811914
E: -1056.367770 	H(E): 13812.000000 	ln(g(E)): 5486.417313
E: -1056.299644 	H(E): 14068.000000 	ln(g(E)): 5486.086685
E: -1056.231517 	H(E): 13854.000000 	ln(g(E)): 5485.828396
E: -1056.163391 	H(E): 13536.000000 	ln(g(E)): 5485.419044
E: -1056.095264 	H(E): 13305.000000 	ln(g(E)): 5485.227793
E: -1056.027138 	H(E): 13724.000000 	ln(g(E)): 5484.894962
E: -1055.959011 	H(E): 12918.000000 	ln(g(E)): 5484.415337
E: -1055.890885 	H(E): 13836.000000 	ln(g(E)): 5483.967007
E: -1055.822758 	H(E): 14484.000000 	ln(g(E)): 5483.274796
E: -1055.754632 	H(E): 14771.000000 	ln(g(E)): 5483.027246
E: -1055.686505 	H(E): 13732.000000 	ln(g(E)): 5482.803291
E: -1055.618379 	H(E): 14637.000000 	ln(g(E)): 5482.338430
E: -1055.550252 	H(E): 14487.000000 	ln(g(E)): 5482.266336
E: -1055.482125 	H(E): 14857.000000 	ln(g(E)): 5481.707636
E: -1055.413999 	H(E): 14253.000000 	ln(g(E)): 5481.243540
E: -1055.345872 	H(E): 13893.000000 	ln(g(E)): 5480.870848
E: -1055.277746 	H(E): 14451.000000 	ln(g(E)): 5480.362459
E: -1055.209619 	H(E): 13411.000000 	ln(g(E)): 5479.552511
E: -1055.141493 	H(E): 13330.000000 	ln(g(E)): 5478.608170
E: -1055.073366 	H(E): 13478.000000 	ln(g(E)): 5478.309914
E: -1055.005240 	H(E): 13242.000000 	ln(g(E)): 5477.263763
E: -1054.937113 	H(E): 12677.000000 	ln(g(E)): 5476.579409
E: -1054.868987 	H(E): 13582.000000 	ln(g(E)): 5475.278179
E: -1054.800860 	H(E): 13853.000000 	ln(g(E)): 5474.361433
E: -1054.732734 	H(E): 13015.000000 	ln(g(E)): 5474.019377
E: -1054.664607 	H(E): 12542.000000 	ln(g(E)): 5471.928986
E: -1054.596481 	H(E): 16869.000000 	ln(g(E)): 5470.735178
E: -1054.528354 	H(E): 15898.000000 	ln(g(E)): 5468.048420
E: -1054.460228 	H(E): 16341.000000 	ln(g(E)): 5467.109617
E: -1054.392101 	H(E): 14005.000000 	ln(g(E)): 5465.824945
