PFP client version: 1.6.3
Model version: v3.0.0
Calculation mode: CRYSTAL_PLUS_D3
****************************************
Examining NCM622 ...
  Importing initial (known) stable/unstable structures ...
  Supercell size: 5 × 4 × 1
  Number of atoms (perfect): 240
  Cell parameters (a, b, c): 2.873440, 2.877225, 14.130600
Estimating energy range ...
  NOTE: Energy range is estimated from imported structures!
  Energy range (min, max): -1075.388829, -1064.828767
Performing Wang-Landau MCMC sampling ...
  Number of energy states: 60
  Energy spacing (eV): 0.178984
  Histogram flatness threshold: 0.8
  Initial modification factor: 2.718282
  Modification factor threshold: 1.00e-06
  Number of F-iterations: 0 + 19
  F-Iteration: 0 	F = 2.718282
  F-Iteration: 0 	MC-Sweep: 0 	Time(s): 0.856573
  F-Iteration: 0 	MC-Sweep: 10000 	Time(s): 1532.803280
  F-Iteration: 0 	MC-Sweep: 20000 	Time(s): 3147.205713
  F-Iteration: 0 	MC-Sweep: 30000 	Time(s): 4666.775256
  F-Iteration: 0 	MC-Sweep: 40000 	Time(s): 6161.692766
  F-Iteration: 0 	MC-Sweep: 50000 	Time(s): 7673.857384
  F-Iteration: 0 	MC-Sweep: 60000 	Time(s): 9212.262626
  F-Iteration: 0 	MC-Sweep: 70000 	Time(s): 10686.842026
  F-Iteration: 0 	MC-Sweep: 80000 	Time(s): 12181.725110
  F-Iteration: 0 	MC-Sweep: 90000 	Time(s): 13677.467233
  F-Iteration: 0 	MC-Sweep: 100000 	Time(s): 15284.677580
  F-Iteration: 0 	MC-Sweep: 110000 	Time(s): 16752.021440
  F-Iteration: 0 	MC-Sweep: 120000 	Time(s): 18188.512647
  F-Iteration: 0 	MC-Sweep: 130000 	Time(s): 19572.234392
  F-Iteration: 0 	MC-Sweep: 140000 	Time(s): 21055.387303
  F-Iteration: 0 	MC-Sweep: 150000 	Time(s): 22463.013170
  F-Iteration: 0 	MC-Sweep: 160000 	Time(s): 23882.631967
  F-Iteration: 0 	MC-Sweep: 170000 	Time(s): 25301.085081
  F-Iteration: 0 	MC-Sweep: 180000 	Time(s): 26762.197692
  F-Iteration: 0 	MC-Sweep: 190000 	Time(s): 28218.258214
  F-Iteration: 0 	MC-Sweep: 200000 	Time(s): 29651.699466
  F-Iteration: 0 	MC-Sweep: 210000 	Time(s): 31075.677323
  F-Iteration: 0 	MC-Sweep: 220000 	Time(s): 32509.723086
  F-Iteration: 0 	MC-Sweep: 230000 	Time(s): 34005.904734
  F-Iteration: 0 	MC-Sweep: 240000 	Time(s): 35499.671835
  F-Iteration: 0 	MC-Sweep: 250000 	Time(s): 36947.088364
  F-Iteration: 0 	MC-Sweep: 260000 	Time(s): 38381.581517
  F-Iteration: 0 	MC-Sweep: 270000 	Time(s): 39877.409285
  F-Iteration: 0 	MC-Sweep: 280000 	Time(s): 41365.582300
  F-Iteration: 0 	MC-Sweep: 290000 	Time(s): 42813.423272
  F-Iteration: 0 	MC-Sweep: 300000 	Time(s): 44271.118742
  F-Iteration: 0 	MC-Sweep: 310000 	Time(s): 45753.236397
  F-Iteration: 0 	MC-Sweep: 320000 	Time(s): 47189.665267
  F-Iteration: 0 	MC-Sweep: 330000 	Time(s): 48625.089484
  F-Iteration: 0 	MC-Sweep: 340000 	Time(s): 50155.557415
  F-Iteration: 0 	MC-Sweep: 350000 	Time(s): 51688.819037
  F-Iteration: 0 	MC-Sweep: 360000 	Time(s): 53169.447183
  F-Iteration: 0 	MC-Sweep: 370000 	Time(s): 54684.560892
  F-Iteration: 0 	MC-Sweep: 380000 	Time(s): 56194.529723
  F-Iteration: 0 	MC-Sweep: 390000 	Time(s): 57679.706007
  F-Iteration: 0 	MC-Sweep: 400000 	Time(s): 59217.901289
  F-Iteration: 0 	MC-Sweep: 410000 	Time(s): 60712.101849
  F-Iteration: 0 	MC-Sweep: 420000 	Time(s): 62136.080334
  F-Iteration: 0 	MC-Sweep: 430000 	Time(s): 63617.847249
  F-Iteration: 0 	MC-Sweep: 440000 	Time(s): 65091.115932
  F-Iteration: 0 	MC-Sweep: 450000 	Time(s): 66647.013871
  F-Iteration: 0 	MC-Sweep: 460000 	Time(s): 68124.605847
  F-Iteration: 0 	MC-Sweep: 470000 	Time(s): 69628.294509
  F-Iteration: 0 	MC-Sweep: 474200 	Time(s): 70278.044924
  Cumulative number of energy calculations: 474204
  F-Iteration: 1 	F = 1.648721
  F-Iteration: 1 	MC-Sweep: 0 	Time(s): 70278.812490
  F-Iteration: 1 	MC-Sweep: 10000 	Time(s): 71854.924594
  F-Iteration: 1 	MC-Sweep: 20000 	Time(s): 73395.116970
  F-Iteration: 1 	MC-Sweep: 30000 	Time(s): 74966.403092
  F-Iteration: 1 	MC-Sweep: 38400 	Time(s): 76253.158408
  Cumulative number of energy calculations: 512605
  F-Iteration: 2 	F = 1.284025
  F-Iteration: 2 	MC-Sweep: 0 	Time(s): 76253.862643
  F-Iteration: 2 	MC-Sweep: 10000 	Time(s): 77736.128821
  F-Iteration: 2 	MC-Sweep: 20000 	Time(s): 79138.745311
  F-Iteration: 2 	MC-Sweep: 30000 	Time(s): 80583.774371
  F-Iteration: 2 	MC-Sweep: 40000 	Time(s): 82028.738408
  F-Iteration: 2 	MC-Sweep: 50000 	Time(s): 83482.618231
  F-Iteration: 2 	MC-Sweep: 60000 	Time(s): 84958.370190
  F-Iteration: 2 	MC-Sweep: 70000 	Time(s): 86448.587994
  F-Iteration: 2 	MC-Sweep: 80000 	Time(s): 87917.410028
  F-Iteration: 2 	MC-Sweep: 90000 	Time(s): 89374.904337
  F-Iteration: 2 	MC-Sweep: 100000 	Time(s): 90847.497166
  F-Iteration: 2 	MC-Sweep: 110000 	Time(s): 92297.516334
  F-Iteration: 2 	MC-Sweep: 120000 	Time(s): 93723.675820
  F-Iteration: 2 	MC-Sweep: 130000 	Time(s): 95159.862284
  F-Iteration: 2 	MC-Sweep: 140000 	Time(s): 96638.753510
  F-Iteration: 2 	MC-Sweep: 150000 	Time(s): 98079.644234
  F-Iteration: 2 	MC-Sweep: 160000 	Time(s): 99543.677578
