PFP client version: 1.6.1
Model version: v3.0.0
Calculation mode: CRYSTAL_PLUS_D3
****************************************
Examining NCM523 ...
  Importing initial (known) stable/unstable structures ...
  Supercell size: 5 × 4 × 1
  Number of atoms (perfect): 240
  Cell parameters (a, b, c): 2.880780, 2.890300, 14.150000
Estimating energy range ...
  NOTE: Energy range is estimated from imported structures!
  Energy range (min, max): -1083.319505, -1068.137526
Performing Wang-Landau MCMC sampling ...
  Number of energy states: 60
  Energy spacing (eV): 0.257322
  Histogram flatness threshold: 0.8
  Initial modification factor: 2.718282
  Modification factor threshold: 1.00e-06
  Number of F-iterations: 0 + 19
  F-Iteration: 0 	F = 2.718282
  F-Iteration: 1 	MC-Sweep: 110000 	Time(s): 116659.350255
  F-Iteration: 1 	MC-Sweep: 120000 	Time(s): 118202.969792
  F-Iteration: 1 	MC-Sweep: 130000 	Time(s): 119756.020180
  F-Iteration: 1 	MC-Sweep: 140000 	Time(s): 121273.854863
  F-Iteration: 1 	MC-Sweep: 150000 	Time(s): 122821.664235
  F-Iteration: 1 	MC-Sweep: 160000 	Time(s): 124366.758591
  F-Iteration: 1 	MC-Sweep: 170000 	Time(s): 125901.336656
  F-Iteration: 1 	MC-Sweep: 180000 	Time(s): 127658.437498
  F-Iteration: 1 	MC-Sweep: 190000 	Time(s): 129432.497437
  F-Iteration: 1 	MC-Sweep: 200000 	Time(s): 131166.941916
  F-Iteration: 1 	MC-Sweep: 210000 	Time(s): 132793.567322
  F-Iteration: 1 	MC-Sweep: 220000 	Time(s): 134255.332868
  F-Iteration: 1 	MC-Sweep: 230000 	Time(s): 135819.192375
  F-Iteration: 1 	MC-Sweep: 240000 	Time(s): 137452.079071
  F-Iteration: 1 	MC-Sweep: 250000 	Time(s): 139081.487349
  F-Iteration: 1 	MC-Sweep: 260000 	Time(s): 140640.767689
  F-Iteration: 1 	MC-Sweep: 270000 	Time(s): 142386.417461
  F-Iteration: 1 	MC-Sweep: 280000 	Time(s): 144019.823060
  F-Iteration: 1 	MC-Sweep: 290000 	Time(s): 145452.697022
  F-Iteration: 1 	MC-Sweep: 300000 	Time(s): 146948.973112
  F-Iteration: 1 	MC-Sweep: 310000 	Time(s): 148492.952865
  F-Iteration: 1 	MC-Sweep: 320000 	Time(s): 149966.802361
  F-Iteration: 1 	MC-Sweep: 330000 	Time(s): 151411.233994
  F-Iteration: 1 	MC-Sweep: 340000 	Time(s): 152964.791112
  F-Iteration: 1 	MC-Sweep: 350000 	Time(s): 154498.904507
  F-Iteration: 1 	MC-Sweep: 360000 	Time(s): 156063.045919
  F-Iteration: 1 	MC-Sweep: 370000 	Time(s): 157530.168345
  F-Iteration: 1 	MC-Sweep: 380000 	Time(s): 159002.584666
  F-Iteration: 1 	MC-Sweep: 390000 	Time(s): 160517.201706
  F-Iteration: 1 	MC-Sweep: 400000 	Time(s): 162015.832020
  F-Iteration: 1 	MC-Sweep: 410000 	Time(s): 163531.352926
  F-Iteration: 1 	MC-Sweep: 420000 	Time(s): 164997.548887
  F-Iteration: 1 	MC-Sweep: 430000 	Time(s): 166521.490355
  F-Iteration: 1 	MC-Sweep: 440000 	Time(s): 168066.331852
  F-Iteration: 1 	MC-Sweep: 450000 	Time(s): 169577.507271
  F-Iteration: 1 	MC-Sweep: 460000 	Time(s): 171147.776172
  F-Iteration: 1 	MC-Sweep: 470000 	Time(s): 172736.263532
  F-Iteration: 1 	MC-Sweep: 480000 	Time(s): 174315.462575
  F-Iteration: 1 	MC-Sweep: 490000 	Time(s): 175913.267932
  F-Iteration: 1 	MC-Sweep: 500000 	Time(s): 177514.212245
  F-Iteration: 1 	MC-Sweep: 510000 	Time(s): 179055.348843
  F-Iteration: 1 	MC-Sweep: 520000 	Time(s): 180645.135942
  F-Iteration: 1 	MC-Sweep: 530000 	Time(s): 182236.519147
  F-Iteration: 1 	MC-Sweep: 540000 	Time(s): 184029.446381
  F-Iteration: 1 	MC-Sweep: 550000 	Time(s): 185958.677074
  F-Iteration: 1 	MC-Sweep: 560000 	Time(s): 187758.541514
  F-Iteration: 1 	MC-Sweep: 570000 	Time(s): 189432.300209
  F-Iteration: 1 	MC-Sweep: 580000 	Time(s): 191045.869467
  F-Iteration: 1 	MC-Sweep: 590000 	Time(s): 192514.233189
  F-Iteration: 1 	MC-Sweep: 600000 	Time(s): 193930.678088
  F-Iteration: 1 	MC-Sweep: 610000 	Time(s): 195520.285578
  F-Iteration: 1 	MC-Sweep: 620000 	Time(s): 197160.057256
  F-Iteration: 1 	MC-Sweep: 630000 	Time(s): 198725.695957
  F-Iteration: 1 	MC-Sweep: 640000 	Time(s): 200437.396812
  F-Iteration: 1 	MC-Sweep: 650000 	Time(s): 202171.062917
