Executed on: 2023-09-26 01:12:58.547256
PFP client version: 1.11.0
Model version: v3.0.0
Calculation mode: CRYSTAL_PLUS_D3
Method type: PFVM
****************************************
Examining NCM523 ...
  Importing initial (known) stable/unstable structures ...
    Supercell size: 5 × 4 × 1
    Number of atoms (perfect): 240
    Cell parameters (a, b, c): 2.880780, 2.890300, 14.150000
    Structural parameter range (min, max): 0.000000, 0.500000
    Number of discrete structural parameters: 60
    Structural parameter spacing: 0.008475
  Importing energies and 1-D DOS from previous WL simlation ...
    Energy range (min, max): -1083.319505, -1068.137526
    Number of energy states: 60
    Energy spacing (eV): 0.257322
  Performing multicanonical Monte Carlo (MCMC) sampling ...
    Number of NNP-neighbors: 11400
    Maximum number of Monte Carlo steps: 10000000
    Trial move style: swap
    -- MCMC Step: 01000000 	Time(s): 409483.660896
    -- MCMC Step: 01010000 	Time(s): 413445.848719
    -- MCMC Step: 01020000 	Time(s): 416052.346190
    -- MCMC Step: 01030000 	Time(s): 419882.193577
    -- MCMC Step: 01040000 	Time(s): 423782.130450
    -- MCMC Step: 01050000 	Time(s): 427677.371040
    -- MCMC Step: 01060000 	Time(s): 431600.369987
    -- MCMC Step: 01070000 	Time(s): 435614.719590
    -- MCMC Step: 01080000 	Time(s): 439851.047770
    -- MCMC Step: 01090000 	Time(s): 444077.370713
    -- MCMC Step: 01100000 	Time(s): 448358.368174
    -- MCMC Step: 01110000 	Time(s): 452637.670617
    -- MCMC Step: 01120000 	Time(s): 456891.908980
    -- MCMC Step: 01130000 	Time(s): 461175.687271
    -- MCMC Step: 01140000 	Time(s): 465466.162396
    -- MCMC Step: 01150000 	Time(s): 469762.103083
    -- MCMC Step: 01160000 	Time(s): 474065.400032
    -- MCMC Step: 01170000 	Time(s): 478354.504895
    -- MCMC Step: 01180000 	Time(s): 482610.076822
    -- MCMC Step: 01190000 	Time(s): 486916.310239
    -- MCMC Step: 01200000 	Time(s): 491178.562836
    -- MCMC Step: 01210000 	Time(s): 495352.915416
    -- MCMC Step: 01220000 	Time(s): 499685.150035
    -- MCMC Step: 01230000 	Time(s): 503918.767145
    -- MCMC Step: 01240000 	Time(s): 508114.397914
    -- MCMC Step: 01250000 	Time(s): 512180.111694
    -- MCMC Step: 01260000 	Time(s): 516215.676859
    -- MCMC Step: 01270000 	Time(s): 520329.833977
    -- MCMC Step: 01280000 	Time(s): 524518.134073
    -- MCMC Step: 01290000 	Time(s): 528627.460845
    -- MCMC Step: 01300000 	Time(s): 532821.938348
    -- MCMC Step: 01310000 	Time(s): 536973.345308
    -- MCMC Step: 01320000 	Time(s): 541057.390680
    -- MCMC Step: 01330000 	Time(s): 545412.698831
    -- MCMC Step: 01340000 	Time(s): 550233.293377
    -- MCMC Step: 01350000 	Time(s): 555124.720431
    -- MCMC Step: 01360000 	Time(s): 560033.117223
    -- MCMC Step: 01370000 	Time(s): 564861.931105
    -- MCMC Step: 01380000 	Time(s): 569699.393830
    -- MCMC Step: 01390000 	Time(s): 574471.711908
    -- MCMC Step: 01400000 	Time(s): 579127.718060
    -- MCMC Step: 01410000 	Time(s): 583872.639206
    -- MCMC Step: 01420000 	Time(s): 588845.159494
    -- MCMC Step: 01430000 	Time(s): 593754.540144
    -- MCMC Step: 01440000 	Time(s): 598628.623177
    -- MCMC Step: 01450000 	Time(s): 603162.044130
    -- MCMC Step: 01460000 	Time(s): 607654.843659
    -- MCMC Step: 01470000 	Time(s): 611742.741741
    -- MCMC Step: 01480000 	Time(s): 616125.020684
    -- MCMC Step: 01490000 	Time(s): 620546.545089
    -- MCMC Step: 01500000 	Time(s): 624622.257822
    -- MCMC Step: 01510000 	Time(s): 629331.941797
    -- MCMC Step: 01520000 	Time(s): 633965.286102
    -- MCMC Step: 01530000 	Time(s): 638557.129139
    -- MCMC Step: 01540000 	Time(s): 643224.552985
    -- MCMC Step: 01550000 	Time(s): 647890.139185
    -- MCMC Step: 01560000 	Time(s): 652566.127050
    -- MCMC Step: 01570000 	Time(s): 657252.339311
    -- MCMC Step: 01580000 	Time(s): 661798.032367
    -- MCMC Step: 01590000 	Time(s): 666082.128418
    -- MCMC Step: 01600000 	Time(s): 670345.047487
    -- MCMC Step: 01610000 	Time(s): 674542.113977
    -- MCMC Step: 01620000 	Time(s): 678601.096106
    -- MCMC Step: 01630000 	Time(s): 682508.402466
    -- MCMC Step: 01640000 	Time(s): 686513.731140
    -- MCMC Step: 01650000 	Time(s): 690736.362656
    -- MCMC Step: 01660000 	Time(s): 694687.182273
    -- MCMC Step: 01670000 	Time(s): 698959.284430
    -- MCMC Step: 01680000 	Time(s): 703223.849060
    -- MCMC Step: 01690000 	Time(s): 707372.817133
    -- MCMC Step: 01700000 	Time(s): 711460.227101
    -- MCMC Step: 01710000 	Time(s): 715728.667969
    -- MCMC Step: 01720000 	Time(s): 719878.483474
    -- MCMC Step: 01730000 	Time(s): 724214.766990
