Executed on: 2023-09-18 02:40:29.157097
PFP client version: 1.11.0
Model version: v3.0.0
Calculation mode: CRYSTAL_PLUS_D3
Method type: PFVM
****************************************
Examining NCM523 ...
  Importing initial (known) stable/unstable structures ...
    Supercell size: 5 × 4 × 1
    Number of atoms (perfect): 240
    Cell parameters (a, b, c): 2.880780, 2.890300, 14.150000
    Structural parameter range (min, max): 0.000000, 0.500000
    Number of discrete structural parameters: 60
    Structural parameter spacing: 0.008475
  Importing energies and 1-D DOS from previous WL simlation ...
    Energy range (min, max): -1083.319505, -1068.137526
    Number of energy states: 60
    Energy spacing (eV): 0.257322
  Performing multicanonical Monte Carlo (MCMC) sampling ...
    Number of NNP-neighbors: 11400
    Maximum number of Monte Carlo steps: 10000000
    Trial move style: swap
    -- MCMC Step: 00000000 	Time(s): 0.507625
    -- MCMC Step: 00010000 	Time(s): 1594.747447
    -- MCMC Step: 00020000 	Time(s): 3244.375555
    -- MCMC Step: 00030000 	Time(s): 4896.494347
    -- MCMC Step: 00040000 	Time(s): 6510.651981
    -- MCMC Step: 00050000 	Time(s): 8209.296983
    -- MCMC Step: 00060000 	Time(s): 9811.940794
    -- MCMC Step: 00070000 	Time(s): 11457.597911
    -- MCMC Step: 00080000 	Time(s): 13228.890353
    -- MCMC Step: 00090000 	Time(s): 14834.563555
    -- MCMC Step: 00100000 	Time(s): 16517.193115
    -- MCMC Step: 00110000 	Time(s): 18158.005168
    -- MCMC Step: 00120000 	Time(s): 19787.123246
    -- MCMC Step: 00130000 	Time(s): 21551.329412
    -- MCMC Step: 00140000 	Time(s): 23263.753267
    -- MCMC Step: 00150000 	Time(s): 24971.656693
    -- MCMC Step: 00160000 	Time(s): 26631.266903
    -- MCMC Step: 00170000 	Time(s): 28308.314276
    -- MCMC Step: 00180000 	Time(s): 29946.974068
    -- MCMC Step: 00190000 	Time(s): 31662.144395
    -- MCMC Step: 00200000 	Time(s): 33396.279432
    -- MCMC Step: 00210000 	Time(s): 35110.793811
    -- MCMC Step: 00220000 	Time(s): 36856.100048
    -- MCMC Step: 00230000 	Time(s): 38569.430834
    -- MCMC Step: 00240000 	Time(s): 40260.265006
    -- MCMC Step: 00250000 	Time(s): 41900.692999
    -- MCMC Step: 00260000 	Time(s): 43573.060202
    -- MCMC Step: 00270000 	Time(s): 45140.546986
    -- MCMC Step: 00280000 	Time(s): 46780.180012
    -- MCMC Step: 00290000 	Time(s): 48431.808268
    -- MCMC Step: 00300000 	Time(s): 50076.711996
    -- MCMC Step: 00310000 	Time(s): 51732.754498
    -- MCMC Step: 00320000 	Time(s): 53439.285678
    -- MCMC Step: 00330000 	Time(s): 55116.419436
    -- MCMC Step: 00340000 	Time(s): 56746.849846
    -- MCMC Step: 00350000 	Time(s): 58391.038893
    -- MCMC Step: 00360000 	Time(s): 60021.390871
    -- MCMC Step: 00370000 	Time(s): 61656.505390
    -- MCMC Step: 00380000 	Time(s): 63319.106252
    -- MCMC Step: 00390000 	Time(s): 64958.921095
    -- MCMC Step: 00400000 	Time(s): 66572.380101
    -- MCMC Step: 00410000 	Time(s): 68208.550935
    -- MCMC Step: 00420000 	Time(s): 69878.134165
    -- MCMC Step: 00430000 	Time(s): 71597.441025
    -- MCMC Step: 00440000 	Time(s): 73224.401217
    -- MCMC Step: 00450000 	Time(s): 74815.272139
    -- MCMC Step: 00460000 	Time(s): 76431.851835
    -- MCMC Step: 00470000 	Time(s): 78148.802943
    -- MCMC Step: 00480000 	Time(s): 79859.662140
    -- MCMC Step: 00490000 	Time(s): 81536.258744
    -- MCMC Step: 00500000 	Time(s): 83198.307439
    -- MCMC Step: 00510000 	Time(s): 84923.640132
