Executed on: 2023-09-26 01:06:20.550773
PFP client version: 1.11.0
Model version: v3.0.0
Calculation mode: CRYSTAL_PLUS_D3
Method type: PFVM
****************************************
Examining NCM622 ...
  Importing initial (known) stable/unstable structures ...
    Supercell size: 5 × 4 × 1
    Number of atoms (perfect): 240
    Cell parameters (a, b, c): 2.873440, 2.877225, 14.130600
    Structural parameter range (min, max): 0.000000, 0.500000
    Number of discrete structural parameters: 60
    Structural parameter spacing: 0.008475
  Importing energies and 1-D DOS from previous WL simlation ...
    Energy range (min, max): -1075.388829, -1064.828767
    Number of energy states: 60
    Energy spacing (eV): 0.178984
  Performing multicanonical Monte Carlo (MCMC) sampling ...
    Number of NNP-neighbors: 11400
    Maximum number of Monte Carlo steps: 10000000
    Trial move style: swap
    -- MCMC Step: 00000000 	Time(s): 0.786398
    -- MCMC Step: 00010000 	Time(s): 1939.472728
    -- MCMC Step: 00020000 	Time(s): 4024.350202
    -- MCMC Step: 00030000 	Time(s): 6099.394217
    -- MCMC Step: 00040000 	Time(s): 8075.355439
    -- MCMC Step: 00050000 	Time(s): 9997.924411
    -- MCMC Step: 00060000 	Time(s): 12747.145542
    -- MCMC Step: 00070000 	Time(s): 15814.036360
    -- MCMC Step: 00080000 	Time(s): 18886.538360
    -- MCMC Step: 00090000 	Time(s): 22245.901450
    -- MCMC Step: 00100000 	Time(s): 25547.199848
    -- MCMC Step: 00110000 	Time(s): 28672.222327
    -- MCMC Step: 00120000 	Time(s): 31698.902091
    -- MCMC Step: 00130000 	Time(s): 34679.243205
    -- MCMC Step: 00140000 	Time(s): 37733.661859
    -- MCMC Step: 00150000 	Time(s): 40774.168659
    -- MCMC Step: 00160000 	Time(s): 43782.339687
    -- MCMC Step: 00170000 	Time(s): 46733.435208
    -- MCMC Step: 00180000 	Time(s): 49692.106970
    -- MCMC Step: 00190000 	Time(s): 52696.445353
    -- MCMC Step: 00200000 	Time(s): 55679.990065
    -- MCMC Step: 00210000 	Time(s): 58653.162081
    -- MCMC Step: 00220000 	Time(s): 61646.523013
    -- MCMC Step: 00230000 	Time(s): 64675.113565
    -- MCMC Step: 00240000 	Time(s): 67670.266708
    -- MCMC Step: 00250000 	Time(s): 70657.384928
    -- MCMC Step: 00260000 	Time(s): 73608.574388
    -- MCMC Step: 00270000 	Time(s): 76631.664865
    -- MCMC Step: 00280000 	Time(s): 79709.590067
    -- MCMC Step: 00290000 	Time(s): 82893.738224
    -- MCMC Step: 00300000 	Time(s): 86425.335560
    -- MCMC Step: 00310000 	Time(s): 90302.856083
    -- MCMC Step: 00320000 	Time(s): 93925.514834
    -- MCMC Step: 00330000 	Time(s): 97774.356800
    -- MCMC Step: 00340000 	Time(s): 101706.191628
    -- MCMC Step: 00350000 	Time(s): 105636.156708
    -- MCMC Step: 00360000 	Time(s): 109761.909258
    -- MCMC Step: 00370000 	Time(s): 114007.734008
    -- MCMC Step: 00380000 	Time(s): 118270.756148
    -- MCMC Step: 00390000 	Time(s): 122560.995518
    -- MCMC Step: 00400000 	Time(s): 126791.798419
    -- MCMC Step: 00410000 	Time(s): 130954.933315
    -- MCMC Step: 00420000 	Time(s): 135190.772315
    -- MCMC Step: 00430000 	Time(s): 139386.868562
    -- MCMC Step: 00440000 	Time(s): 143551.784708
    -- MCMC Step: 00450000 	Time(s): 147733.598588
    -- MCMC Step: 00460000 	Time(s): 151932.777679
    -- MCMC Step: 00470000 	Time(s): 156150.372507
    -- MCMC Step: 00480000 	Time(s): 160334.730819
    -- MCMC Step: 00490000 	Time(s): 164529.201477
    -- MCMC Step: 00500000 	Time(s): 168818.026150
    -- MCMC Step: 00510000 	Time(s): 173222.814460
