Executed on: 2023-09-28 08:56:33.443213
PFP client version: 1.11.0
Model version: v3.0.0
Calculation mode: CRYSTAL_PLUS_D3
Method type: PFVM
****************************************
Examining NCM622 ...
  Importing initial (known) stable/unstable structures ...
    Supercell size: 5 × 4 × 1
    Number of atoms (perfect): 240
    Cell parameters (a, b, c): 2.873440, 2.877225, 14.130600
    Structural parameter range (min, max): 0.000000, 1.000000
    Number of discrete structural parameters: 120
    Structural parameter spacing: 0.008403
  Importing energies and 1-D DOS from previous WL simlation ...
    Energy range (min, max): -1075.388829, -1064.828767
    Number of energy states: 60
    Energy spacing (eV): 0.178984
  Performing multicanonical Monte Carlo (MCMC) sampling ...
    Number of NNP-neighbors: 11400
    Maximum number of Monte Carlo steps: 10000000
    Trial move style: swap
    -- MCMC Step: 00980000 	Time(s): 389078.584623
    -- MCMC Step: 00990000 	Time(s): 393558.236455
    -- MCMC Step: 01000000 	Time(s): 397985.664889
    -- MCMC Step: 01010000 	Time(s): 402148.099536
    -- MCMC Step: 01020000 	Time(s): 406367.132383
    -- MCMC Step: 01030000 	Time(s): 410140.401820
    -- MCMC Step: 01040000 	Time(s): 414076.776652
    -- MCMC Step: 01050000 	Time(s): 418179.051007
    -- MCMC Step: 01060000 	Time(s): 421864.743097
    -- MCMC Step: 01070000 	Time(s): 425682.595670
    -- MCMC Step: 01080000 	Time(s): 429899.693455
    -- MCMC Step: 01090000 	Time(s): 433968.791705
    -- MCMC Step: 01100000 	Time(s): 438094.108798
    -- MCMC Step: 01110000 	Time(s): 442487.390223
    -- MCMC Step: 01120000 	Time(s): 446798.189222
    -- MCMC Step: 01130000 	Time(s): 451091.628143
    -- MCMC Step: 01140000 	Time(s): 455397.209159
    -- MCMC Step: 01150000 	Time(s): 459640.955447
    -- MCMC Step: 01160000 	Time(s): 463654.849002
    -- MCMC Step: 01170000 	Time(s): 467626.065552
    -- MCMC Step: 01180000 	Time(s): 471500.286978
    -- MCMC Step: 01190000 	Time(s): 475356.611462
    -- MCMC Step: 01200000 	Time(s): 478957.173036
    -- MCMC Step: 01210000 	Time(s): 482633.128173
    -- MCMC Step: 01220000 	Time(s): 486430.096421
    -- MCMC Step: 01230000 	Time(s): 490410.407409
    -- MCMC Step: 01240000 	Time(s): 494179.576268
    -- MCMC Step: 01250000 	Time(s): 498259.938773
    -- MCMC Step: 01260000 	Time(s): 502339.617370
    -- MCMC Step: 01270000 	Time(s): 506265.669412
    -- MCMC Step: 01280000 	Time(s): 510151.337707
    -- MCMC Step: 01290000 	Time(s): 514098.423545
    -- MCMC Step: 01300000 	Time(s): 518091.152237
    -- MCMC Step: 01310000 	Time(s): 521865.831161
    -- MCMC Step: 01320000 	Time(s): 526058.683200
    -- MCMC Step: 01330000 	Time(s): 530443.053799
    -- MCMC Step: 01340000 	Time(s): 534827.478608
    -- MCMC Step: 01350000 	Time(s): 539066.100071
    -- MCMC Step: 01360000 	Time(s): 543173.948273
    -- MCMC Step: 01370000 	Time(s): 547251.415437
    -- MCMC Step: 01380000 	Time(s): 551140.883590
    -- MCMC Step: 01390000 	Time(s): 554844.165908
    -- MCMC Step: 01400000 	Time(s): 558454.098299
    -- MCMC Step: 01410000 	Time(s): 562080.891404
    -- MCMC Step: 01420000 	Time(s): 565755.072603
    -- MCMC Step: 01430000 	Time(s): 569281.467591
    -- MCMC Step: 01440000 	Time(s): 572939.514765
    -- MCMC Step: 01450000 	Time(s): 576411.581326
    -- MCMC Step: 01460000 	Time(s): 579603.279763
    -- MCMC Step: 01470000 	Time(s): 582959.517405
    -- MCMC Step: 01480000 	Time(s): 586302.225219
    -- MCMC Step: 01490000 	Time(s): 589605.421305
    -- MCMC Step: 01500000 	Time(s): 593075.635913
    -- MCMC Step: 01510000 	Time(s): 596755.032557
    -- MCMC Step: 01520000 	Time(s): 600352.375897
    -- MCMC Step: 01530000 	Time(s): 603979.371605
    -- MCMC Step: 01540000 	Time(s): 607675.908953
    -- MCMC Step: 01550000 	Time(s): 611312.827222
    -- MCMC Step: 01560000 	Time(s): 614925.648691
    -- MCMC Step: 01570000 	Time(s): 618437.560954
    -- MCMC Step: 01580000 	Time(s): 621881.255170
    -- MCMC Step: 01590000 	Time(s): 625274.476170
    -- MCMC Step: 01600000 	Time(s): 628733.891744
    -- MCMC Step: 01610000 	Time(s): 632183.871837
    -- MCMC Step: 01620000 	Time(s): 635659.703742
    -- MCMC Step: 01630000 	Time(s): 639142.451216
    -- MCMC Step: 01640000 	Time(s): 642629.466938
    -- MCMC Step: 01650000 	Time(s): 646102.302596
    -- MCMC Step: 01660000 	Time(s): 649579.120602
    -- MCMC Step: 01670000 	Time(s): 653033.869388
    -- MCMC Step: 01680000 	Time(s): 656514.054792
    -- MCMC Step: 01690000 	Time(s): 660102.826411
    -- MCMC Step: 01700000 	Time(s): 663823.437970
    -- MCMC Step: 01710000 	Time(s): 666884.408459
    -- MCMC Step: 01720000 	Time(s): 669822.210083
    -- MCMC Step: 01730000 	Time(s): 673034.050805
    -- MCMC Step: 01740000 	Time(s): 676197.346258
    -- MCMC Step: 01750000 	Time(s): 679228.248582
    -- MCMC Step: 01760000 	Time(s): 682226.355227
    -- MCMC Step: 01770000 	Time(s): 685380.359094
    -- MCMC Step: 01780000 	Time(s): 688451.052624
    -- MCMC Step: 01790000 	Time(s): 691526.720868
    -- MCMC Step: 01800000 	Time(s): 694546.375910
    -- MCMC Step: 01810000 	Time(s): 697960.894506
    -- MCMC Step: 01820000 	Time(s): 701425.356906
    -- MCMC Step: 01830000 	Time(s): 704883.781837
    -- MCMC Step: 01840000 	Time(s): 708392.448562
    -- MCMC Step: 01850000 	Time(s): 711890.568238
    -- MCMC Step: 01860000 	Time(s): 715339.123313
    -- MCMC Step: 01870000 	Time(s): 718777.011828
    -- MCMC Step: 01880000 	Time(s): 722242.221985
    -- MCMC Step: 01890000 	Time(s): 725757.710716
    -- MCMC Step: 01900000 	Time(s): 729239.225867
    -- MCMC Step: 01910000 	Time(s): 732716.609278
    -- MCMC Step: 01920000 	Time(s): 736219.155533
    -- MCMC Step: 01930000 	Time(s): 739708.720928
    -- MCMC Step: 01940000 	Time(s): 743190.570531
    -- MCMC Step: 01950000 	Time(s): 746669.685247
    -- MCMC Step: 01960000 	Time(s): 750128.864762
    -- MCMC Step: 01970000 	Time(s): 753585.911164
    -- MCMC Step: 01980000 	Time(s): 757055.006590
    -- MCMC Step: 01990000 	Time(s): 760536.973572
    -- MCMC Step: 02000000 	Time(s): 763992.147054
    -- MCMC Step: 02010000 	Time(s): 767455.517108
    -- MCMC Step: 02020000 	Time(s): 770924.498846
    -- MCMC Step: 02030000 	Time(s): 774439.228293
    -- MCMC Step: 02040000 	Time(s): 777959.698987
    -- MCMC Step: 02050000 	Time(s): 781441.261198
    -- MCMC Step: 02060000 	Time(s): 784897.691396
    -- MCMC Step: 02070000 	Time(s): 788323.393930
    -- MCMC Step: 02080000 	Time(s): 791763.568220
    -- MCMC Step: 02090000 	Time(s): 795207.076138
    -- MCMC Step: 02100000 	Time(s): 798641.690738
    -- MCMC Step: 02110000 	Time(s): 802103.699273
    -- MCMC Step: 02120000 	Time(s): 805540.616084
    -- MCMC Step: 02130000 	Time(s): 809020.830273
    -- MCMC Step: 02140000 	Time(s): 812549.669738
    -- MCMC Step: 02150000 	Time(s): 816029.044498
    -- MCMC Step: 02160000 	Time(s): 819246.083279
    -- MCMC Step: 02170000 	Time(s): 822478.581943
    -- MCMC Step: 02180000 	Time(s): 825709.227151
    -- MCMC Step: 02190000 	Time(s): 828922.187969
    -- MCMC Step: 02200000 	Time(s): 832145.993126
    -- MCMC Step: 02210000 	Time(s): 835357.886319
    -- MCMC Step: 02220000 	Time(s): 838453.992977
    -- MCMC Step: 02230000 	Time(s): 841565.507394
    -- MCMC Step: 02240000 	Time(s): 844665.264104
    -- MCMC Step: 02250000 	Time(s): 847753.635262
    -- MCMC Step: 02260000 	Time(s): 850976.955944
    -- MCMC Step: 02270000 	Time(s): 854183.603739
    -- MCMC Step: 02280000 	Time(s): 857398.553203
    -- MCMC Step: 02290000 	Time(s): 860611.186305
    -- MCMC Step: 02300000 	Time(s): 863813.443451
    -- MCMC Step: 02310000 	Time(s): 866999.027151
    -- MCMC Step: 02320000 	Time(s): 870175.864458
    -- MCMC Step: 02330000 	Time(s): 873355.623151
    -- MCMC Step: 02340000 	Time(s): 876541.998216
    -- MCMC Step: 02350000 	Time(s): 879741.295092
    -- MCMC Step: 02360000 	Time(s): 882830.334684
    -- MCMC Step: 02370000 	Time(s): 885788.417197
    -- MCMC Step: 02380000 	Time(s): 888667.537226
    -- MCMC Step: 02390000 	Time(s): 891545.730722
    -- MCMC Step: 02400000 	Time(s): 894407.518769
    -- MCMC Step: 02410000 	Time(s): 897249.279510
    -- MCMC Step: 02420000 	Time(s): 900026.017763
    -- MCMC Step: 02430000 	Time(s): 902792.934238
    -- MCMC Step: 02440000 	Time(s): 905574.152650
    -- MCMC Step: 02450000 	Time(s): 908263.072871
    -- MCMC Step: 02460000 	Time(s): 910950.024094
    -- MCMC Step: 02470000 	Time(s): 913802.050336
    -- MCMC Step: 02480000 	Time(s): 916758.829848
    -- MCMC Step: 02490000 	Time(s): 919660.444872
    -- MCMC Step: 02500000 	Time(s): 922542.567447
    -- MCMC Step: 02510000 	Time(s): 925387.161337
    -- MCMC Step: 02520000 	Time(s): 928262.715507
    -- MCMC Step: 02530000 	Time(s): 931151.616915
    -- MCMC Step: 02540000 	Time(s): 934046.223564
    -- MCMC Step: 02550000 	Time(s): 936904.332487
    -- MCMC Step: 02560000 	Time(s): 939744.258581
    -- MCMC Step: 02570000 	Time(s): 942559.339814
    -- MCMC Step: 02580000 	Time(s): 945347.555646
    -- MCMC Step: 02590000 	Time(s): 948145.980916
    -- MCMC Step: 02600000 	Time(s): 950911.574071
    -- MCMC Step: 02610000 	Time(s): 953683.435369
    -- MCMC Step: 02620000 	Time(s): 956475.036355
    -- MCMC Step: 02630000 	Time(s): 959280.908091
    -- MCMC Step: 02640000 	Time(s): 962059.453912
    -- MCMC Step: 02650000 	Time(s): 964814.029843
    -- MCMC Step: 02660000 	Time(s): 967572.938012
    -- MCMC Step: 02670000 	Time(s): 970220.134006
    -- MCMC Step: 02680000 	Time(s): 972762.399810
    -- MCMC Step: 02690000 	Time(s): 975201.541830
    -- MCMC Step: 02700000 	Time(s): 977524.314058
    -- MCMC Step: 02710000 	Time(s): 979848.229916
    -- MCMC Step: 02720000 	Time(s): 982193.659677
    -- MCMC Step: 02730000 	Time(s): 984535.915314
    -- MCMC Step: 02740000 	Time(s): 986876.464817
    -- MCMC Step: 02750000 	Time(s): 989214.433586
    -- MCMC Step: 02760000 	Time(s): 991537.558547
    -- MCMC Step: 02770000 	Time(s): 993864.286370
    -- MCMC Step: 02780000 	Time(s): 996282.103678
    -- MCMC Step: 02790000 	Time(s): 998809.924174
    -- MCMC Step: 02800000 	Time(s): 1001236.944037
    -- MCMC Step: 02810000 	Time(s): 1003510.160895
    -- MCMC Step: 02820000 	Time(s): 1005775.066310
    -- MCMC Step: 02830000 	Time(s): 1008094.238287
    -- MCMC Step: 02840000 	Time(s): 1010583.150328
    -- MCMC Step: 02850000 	Time(s): 1013249.662493
    -- MCMC Step: 02860000 	Time(s): 1015964.575451
    -- MCMC Step: 02870000 	Time(s): 1018778.023088
    -- MCMC Step: 02880000 	Time(s): 1021749.163591
    -- MCMC Step: 02890000 	Time(s): 1024781.166751
    -- MCMC Step: 02900000 	Time(s): 1027877.650964
    -- MCMC Step: 02910000 	Time(s): 1031014.512220
    -- MCMC Step: 02920000 	Time(s): 1034081.188733
    -- MCMC Step: 02930000 	Time(s): 1037088.785354
    -- MCMC Step: 02940000 	Time(s): 1040216.041501
    -- MCMC Step: 02950000 	Time(s): 1043128.495409
    -- MCMC Step: 02960000 	Time(s): 1046057.224709
    -- MCMC Step: 02970000 	Time(s): 1048939.458554
    -- MCMC Step: 02980000 	Time(s): 1051921.802480
    -- MCMC Step: 02990000 	Time(s): 1054951.926616
    -- MCMC Step: 03000000 	Time(s): 1058007.845677
    -- MCMC Step: 03010000 	Time(s): 1061092.403974
    -- MCMC Step: 03020000 	Time(s): 1064161.877509
    -- MCMC Step: 03030000 	Time(s): 1067226.118959
    -- MCMC Step: 03040000 	Time(s): 1070280.355352
    -- MCMC Step: 03050000 	Time(s): 1073331.126391
    -- MCMC Step: 03060000 	Time(s): 1076386.960004
    -- MCMC Step: 03070000 	Time(s): 1079385.138092
    -- MCMC Step: 03080000 	Time(s): 1082414.601969
    -- MCMC Step: 03090000 	Time(s): 1085471.166476
    -- MCMC Step: 03100000 	Time(s): 1088536.555456
    -- MCMC Step: 03110000 	Time(s): 1091634.509175
    -- MCMC Step: 03120000 	Time(s): 1094659.633808
    -- MCMC Step: 03130000 	Time(s): 1097564.123929
    -- MCMC Step: 03140000 	Time(s): 1100390.683480
    -- MCMC Step: 03150000 	Time(s): 1103254.762245
    -- MCMC Step: 03160000 	Time(s): 1106297.351664
    -- MCMC Step: 03170000 	Time(s): 1109604.870872
