Executed on: 2023-09-26 01:36:28.357913
PFP client version: 1.11.0
Model version: v3.0.0
Calculation mode: CRYSTAL_PLUS_D3
Method type: PFVM
****************************************
Examining NCM811 ...
  Importing initial (known) stable/unstable structures ...
    Supercell size: 5 × 4 × 1
    Number of atoms (perfect): 240
    Cell parameters (a, b, c): 2.874400, 2.878125, 14.114900
    Structural parameter range (min, max): 0.000000, 1.000000
    Number of discrete structural parameters: 120
    Structural parameter spacing: 0.008403
  Importing energies and 1-D DOS from previous WL simlation ...
    Energy range (min, max): -1058.411566, -1054.392101
    Number of energy states: 60
    Energy spacing (eV): 0.068127
  Performing multicanonical Monte Carlo (MCMC) sampling ...
    Number of NNP-neighbors: 11400
    Maximum number of Monte Carlo steps: 10000000
    Trial move style: swap
    -- MCMC Step: 00000000 	Time(s): 0.846066
    -- MCMC Step: 00010000 	Time(s): 2131.326922
    -- MCMC Step: 00020000 	Time(s): 4318.425804
    -- MCMC Step: 00030000 	Time(s): 6448.979997
    -- MCMC Step: 00040000 	Time(s): 8537.584701
    -- MCMC Step: 00050000 	Time(s): 11736.762705
    -- MCMC Step: 00060000 	Time(s): 15090.101498
    -- MCMC Step: 00070000 	Time(s): 18584.027958
    -- MCMC Step: 00080000 	Time(s): 22213.011534
    -- MCMC Step: 00090000 	Time(s): 25775.849419
    -- MCMC Step: 00100000 	Time(s): 29171.346391
    -- MCMC Step: 00110000 	Time(s): 32484.280612
    -- MCMC Step: 00120000 	Time(s): 35892.118492
    -- MCMC Step: 00130000 	Time(s): 39265.015396
    -- MCMC Step: 00140000 	Time(s): 42601.278569
    -- MCMC Step: 00150000 	Time(s): 45965.500421
    -- MCMC Step: 00160000 	Time(s): 49372.052313
    -- MCMC Step: 00170000 	Time(s): 52749.980958
    -- MCMC Step: 00180000 	Time(s): 56180.927861
    -- MCMC Step: 00190000 	Time(s): 59650.692308
    -- MCMC Step: 00200000 	Time(s): 63098.941862
    -- MCMC Step: 00210000 	Time(s): 66577.307427
    -- MCMC Step: 00220000 	Time(s): 70074.192849
    -- MCMC Step: 00230000 	Time(s): 73516.133226
    -- MCMC Step: 00240000 	Time(s): 76852.223319
    -- MCMC Step: 00250000 	Time(s): 80273.300042
    -- MCMC Step: 00260000 	Time(s): 84008.158193
    -- MCMC Step: 00270000 	Time(s): 88086.690250
    -- MCMC Step: 00280000 	Time(s): 91895.671729
    -- MCMC Step: 00290000 	Time(s): 96006.389486
    -- MCMC Step: 00300000 	Time(s): 100128.828200
    -- MCMC Step: 00310000 	Time(s): 104279.730861
    -- MCMC Step: 00320000 	Time(s): 108611.624961
    -- MCMC Step: 00330000 	Time(s): 112998.302174
    -- MCMC Step: 00340000 	Time(s): 117639.207150
    -- MCMC Step: 00350000 	Time(s): 122371.527548
    -- MCMC Step: 00360000 	Time(s): 127116.827467
    -- MCMC Step: 00370000 	Time(s): 131904.849659
    -- MCMC Step: 00380000 	Time(s): 136589.406176
    -- MCMC Step: 00390000 	Time(s): 141318.390868
    -- MCMC Step: 00400000 	Time(s): 146059.423478
    -- MCMC Step: 00410000 	Time(s): 150810.844707
    -- MCMC Step: 00420000 	Time(s): 155560.156895
    -- MCMC Step: 00430000 	Time(s): 160211.938542
    -- MCMC Step: 00440000 	Time(s): 164914.857344
    -- MCMC Step: 00450000 	Time(s): 169606.019637
    -- MCMC Step: 00460000 	Time(s): 174222.674892
    -- MCMC Step: 00470000 	Time(s): 178764.059815
    -- MCMC Step: 00480000 	Time(s): 183277.023755
    -- MCMC Step: 00490000 	Time(s): 187732.434082
    -- MCMC Step: 00500000 	Time(s): 192320.325080
    -- MCMC Step: 00510000 	Time(s): 196839.347300
