Executed on: 2023-09-18 02:40:20.932468
PFP client version: 1.11.0
Model version: v3.0.0
Calculation mode: CRYSTAL_PLUS_D3
Method type: PFVM
****************************************
Examining NCM523 ...
  Importing initial (known) stable/unstable structures ...
    Supercell size: 5 × 4 × 1
    Number of atoms (perfect): 240
    Cell parameters (a, b, c): 2.880780, 2.890300, 14.150000
    Structural parameter range (min, max): 0.000000, 0.500000
    Number of discrete structural parameters: 60
    Structural parameter spacing: 0.008475
  Importing energies and 1-D DOS from previous WL simlation ...
    Energy range (min, max): -1083.319505, -1068.137526
    Number of energy states: 60
    Energy spacing (eV): 0.257322
  Performing multicanonical Monte Carlo (MCMC) sampling ...
    Number of NNP-neighbors: 11400
    Maximum number of Monte Carlo steps: 10000000
    Trial move style: swap
    -- MCMC Step: 00000000 	Time(s): 0.497994
    -- MCMC Step: 00010000 	Time(s): 1592.072675
    -- MCMC Step: 00020000 	Time(s): 3231.815835
    -- MCMC Step: 00030000 	Time(s): 4861.458000
    -- MCMC Step: 00040000 	Time(s): 6452.561060
    -- MCMC Step: 00050000 	Time(s): 8126.183712
    -- MCMC Step: 00060000 	Time(s): 9717.955715
    -- MCMC Step: 00070000 	Time(s): 11346.917395
    -- MCMC Step: 00080000 	Time(s): 13088.536716
    -- MCMC Step: 00090000 	Time(s): 14693.130095
    -- MCMC Step: 00100000 	Time(s): 16333.853706
    -- MCMC Step: 00110000 	Time(s): 17957.868303
    -- MCMC Step: 00120000 	Time(s): 19581.474172
    -- MCMC Step: 00130000 	Time(s): 21290.985760
    -- MCMC Step: 00140000 	Time(s): 22994.125617
    -- MCMC Step: 00150000 	Time(s): 24662.590778
    -- MCMC Step: 00160000 	Time(s): 26323.677338
    -- MCMC Step: 00170000 	Time(s): 27966.965472
    -- MCMC Step: 00180000 	Time(s): 29595.238518
    -- MCMC Step: 00190000 	Time(s): 31269.508497
    -- MCMC Step: 00200000 	Time(s): 32962.351474
    -- MCMC Step: 00210000 	Time(s): 34657.094468
    -- MCMC Step: 00220000 	Time(s): 36353.573354
    -- MCMC Step: 00230000 	Time(s): 38055.867009
    -- MCMC Step: 00240000 	Time(s): 39734.463187
    -- MCMC Step: 00250000 	Time(s): 41369.808863
    -- MCMC Step: 00260000 	Time(s): 43023.401452
    -- MCMC Step: 00270000 	Time(s): 44589.035265
    -- MCMC Step: 00280000 	Time(s): 46182.754602
    -- MCMC Step: 00290000 	Time(s): 47814.042562
    -- MCMC Step: 00300000 	Time(s): 49435.241020
    -- MCMC Step: 00310000 	Time(s): 51042.174734
    -- MCMC Step: 00320000 	Time(s): 52716.897213
    -- MCMC Step: 00330000 	Time(s): 54385.571235
    -- MCMC Step: 00340000 	Time(s): 55992.726634
    -- MCMC Step: 00350000 	Time(s): 57633.543530
    -- MCMC Step: 00360000 	Time(s): 59213.527223
    -- MCMC Step: 00370000 	Time(s): 60846.067103
    -- MCMC Step: 00380000 	Time(s): 62480.307340
    -- MCMC Step: 00390000 	Time(s): 64091.183851
    -- MCMC Step: 00400000 	Time(s): 65712.466589
    -- MCMC Step: 00410000 	Time(s): 67303.024516
    -- MCMC Step: 00420000 	Time(s): 68956.345242
    -- MCMC Step: 00430000 	Time(s): 70560.039594
    -- MCMC Step: 00440000 	Time(s): 72257.607842
    -- MCMC Step: 00450000 	Time(s): 73846.566057
    -- MCMC Step: 00460000 	Time(s): 75429.049365
    -- MCMC Step: 00470000 	Time(s): 77067.575889
    -- MCMC Step: 00480000 	Time(s): 78783.792849
    -- MCMC Step: 00490000 	Time(s): 80456.434584
    -- MCMC Step: 00500000 	Time(s): 82109.405293
    -- MCMC Step: 00510000 	Time(s): 83795.020077
