Executed on: 2023-09-18 02:40:43.125852
PFP client version: 1.11.0
Model version: v3.0.0
Calculation mode: CRYSTAL_PLUS_D3
Method type: PFVM
****************************************
Examining NCM811 ...
  Importing initial (known) stable/unstable structures ...
    Supercell size: 5 × 4 × 1
    Number of atoms (perfect): 240
    Cell parameters (a, b, c): 2.874400, 2.878125, 14.114900
    Structural parameter range (min, max): 0.000000, 0.500000
    Number of discrete structural parameters: 60
    Structural parameter spacing: 0.008475
  Importing energies and 1-D DOS from previous WL simlation ...
    Energy range (min, max): -1058.411566, -1054.392101
    Number of energy states: 60
    Energy spacing (eV): 0.068127
  Performing multicanonical Monte Carlo (MCMC) sampling ...
    Number of NNP-neighbors: 11400
    Maximum number of Monte Carlo steps: 10000000
    Trial move style: swap
    -- MCMC Step: 01000000 	Time(s): 201480.759790
    -- MCMC Step: 01010000 	Time(s): 203803.732111
    -- MCMC Step: 01020000 	Time(s): 206168.455893
    -- MCMC Step: 01030000 	Time(s): 208568.109841
    -- MCMC Step: 01040000 	Time(s): 210976.783789
    -- MCMC Step: 01050000 	Time(s): 213379.602379
    -- MCMC Step: 01060000 	Time(s): 215737.281147
    -- MCMC Step: 01070000 	Time(s): 218101.148875
    -- MCMC Step: 01080000 	Time(s): 220494.217822
    -- MCMC Step: 01090000 	Time(s): 222891.258672
    -- MCMC Step: 01100000 	Time(s): 225273.559264
    -- MCMC Step: 01110000 	Time(s): 227673.335610
    -- MCMC Step: 01120000 	Time(s): 230068.556981
    -- MCMC Step: 01130000 	Time(s): 232410.427509
    -- MCMC Step: 01140000 	Time(s): 234776.564383
    -- MCMC Step: 01150000 	Time(s): 237160.606863
    -- MCMC Step: 01160000 	Time(s): 239481.864853
    -- MCMC Step: 01170000 	Time(s): 241746.531843
    -- MCMC Step: 01180000 	Time(s): 244007.868217
    -- MCMC Step: 01190000 	Time(s): 246243.688789
    -- MCMC Step: 01200000 	Time(s): 248511.181928
    -- MCMC Step: 01210000 	Time(s): 250796.603816
    -- MCMC Step: 01220000 	Time(s): 253094.711780
    -- MCMC Step: 01230000 	Time(s): 255410.965106
    -- MCMC Step: 01240000 	Time(s): 257516.262466
    -- MCMC Step: 01250000 	Time(s): 259641.254889
    -- MCMC Step: 01260000 	Time(s): 262093.821624
    -- MCMC Step: 01270000 	Time(s): 264348.709935
    -- MCMC Step: 01280000 	Time(s): 266606.899433
    -- MCMC Step: 01290000 	Time(s): 268808.962909
    -- MCMC Step: 01300000 	Time(s): 271163.774742
    -- MCMC Step: 01310000 	Time(s): 273476.581218
    -- MCMC Step: 01320000 	Time(s): 275800.208864
    -- MCMC Step: 01330000 	Time(s): 278144.131344
    -- MCMC Step: 01340000 	Time(s): 280508.433918
    -- MCMC Step: 01350000 	Time(s): 282896.905676
    -- MCMC Step: 01360000 	Time(s): 285370.124579
    -- MCMC Step: 01370000 	Time(s): 287919.285601
    -- MCMC Step: 01380000 	Time(s): 290261.554345
    -- MCMC Step: 01390000 	Time(s): 292638.748510
    -- MCMC Step: 01400000 	Time(s): 295023.425652
    -- MCMC Step: 01410000 	Time(s): 297386.212082
    -- MCMC Step: 01420000 	Time(s): 299743.787110
