Executed on: 2023-09-26 01:12:47.060511
PFP client version: 1.11.0
Model version: v3.0.0
Calculation mode: CRYSTAL_PLUS_D3
Method type: PFVM
****************************************
Examining NCM523 ...
  Importing initial (known) stable/unstable structures ...
    Supercell size: 5 × 4 × 1
    Number of atoms (perfect): 240
    Cell parameters (a, b, c): 2.880780, 2.890300, 14.150000
    Structural parameter range (min, max): 0.000000, 0.500000
    Number of discrete structural parameters: 60
    Structural parameter spacing: 0.008475
  Importing energies and 1-D DOS from previous WL simlation ...
    Energy range (min, max): -1083.319505, -1068.137526
    Number of energy states: 60
    Energy spacing (eV): 0.257322
  Performing multicanonical Monte Carlo (MCMC) sampling ...
    Number of NNP-neighbors: 11400
    Maximum number of Monte Carlo steps: 10000000
    Trial move style: swap
    -- MCMC Step: 00000000 	Time(s): 0.588326
    -- MCMC Step: 00010000 	Time(s): 1974.550949
    -- MCMC Step: 00020000 	Time(s): 4184.751231
    -- MCMC Step: 00030000 	Time(s): 6315.554701
    -- MCMC Step: 00040000 	Time(s): 8453.038829
    -- MCMC Step: 00050000 	Time(s): 10797.873591
    -- MCMC Step: 00060000 	Time(s): 14137.470357
    -- MCMC Step: 00070000 	Time(s): 17483.096706
    -- MCMC Step: 00080000 	Time(s): 21040.150112
    -- MCMC Step: 00090000 	Time(s): 24618.219990
    -- MCMC Step: 00100000 	Time(s): 28109.012486
    -- MCMC Step: 00110000 	Time(s): 31466.057899
    -- MCMC Step: 00120000 	Time(s): 34806.489716
    -- MCMC Step: 00130000 	Time(s): 38196.752805
    -- MCMC Step: 00140000 	Time(s): 41540.272887
    -- MCMC Step: 00150000 	Time(s): 44853.493776
    -- MCMC Step: 00160000 	Time(s): 48200.439716
    -- MCMC Step: 00170000 	Time(s): 51565.314091
    -- MCMC Step: 00180000 	Time(s): 54969.127299
    -- MCMC Step: 00190000 	Time(s): 58390.741614
    -- MCMC Step: 00200000 	Time(s): 61832.787867
    -- MCMC Step: 00210000 	Time(s): 65265.763894
    -- MCMC Step: 00220000 	Time(s): 68752.761656
    -- MCMC Step: 00230000 	Time(s): 72203.618597
    -- MCMC Step: 00240000 	Time(s): 75610.297241
    -- MCMC Step: 00250000 	Time(s): 78921.388638
    -- MCMC Step: 00260000 	Time(s): 82364.983855
    -- MCMC Step: 00270000 	Time(s): 86165.910522
    -- MCMC Step: 00280000 	Time(s): 90209.698390
    -- MCMC Step: 00290000 	Time(s): 94091.934685
    -- MCMC Step: 00300000 	Time(s): 98149.884587
    -- MCMC Step: 00310000 	Time(s): 102251.125884
    -- MCMC Step: 00320000 	Time(s): 106388.757460
    -- MCMC Step: 00330000 	Time(s): 110733.304410
    -- MCMC Step: 00340000 	Time(s): 115149.884361
    -- MCMC Step: 00350000 	Time(s): 119780.074373
    -- MCMC Step: 00360000 	Time(s): 124497.184903
    -- MCMC Step: 00370000 	Time(s): 129226.309585
    -- MCMC Step: 00380000 	Time(s): 133997.411007
    -- MCMC Step: 00390000 	Time(s): 138680.080544
    -- MCMC Step: 00400000 	Time(s): 143409.769503
    -- MCMC Step: 00410000 	Time(s): 148117.026079
    -- MCMC Step: 00420000 	Time(s): 152879.411516
    -- MCMC Step: 00430000 	Time(s): 157603.003276
    -- MCMC Step: 00440000 	Time(s): 162257.699223
    -- MCMC Step: 00450000 	Time(s): 166948.164227
    -- MCMC Step: 00460000 	Time(s): 171598.878458
    -- MCMC Step: 00470000 	Time(s): 176154.668811
    -- MCMC Step: 00480000 	Time(s): 180690.047134
    -- MCMC Step: 00490000 	Time(s): 185168.856372
    -- MCMC Step: 00500000 	Time(s): 189580.779209
    -- MCMC Step: 00510000 	Time(s): 194114.315887
