Executed on: 2023-09-26 01:18:41.460130
PFP client version: 1.11.0
Model version: v3.0.0
Calculation mode: CRYSTAL_PLUS_D3
Method type: PFVM
****************************************
Examining NCM811 ...
  Importing initial (known) stable/unstable structures ...
    Supercell size: 5 × 4 × 1
    Number of atoms (perfect): 240
    Cell parameters (a, b, c): 2.874400, 2.878125, 14.114900
    Structural parameter range (min, max): 0.000000, 0.500000
    Number of discrete structural parameters: 60
    Structural parameter spacing: 0.008475
  Importing energies and 1-D DOS from previous WL simlation ...
    Energy range (min, max): -1058.411566, -1054.392101
    Number of energy states: 60
    Energy spacing (eV): 0.068127
  Performing multicanonical Monte Carlo (MCMC) sampling ...
    Number of NNP-neighbors: 11400
    Maximum number of Monte Carlo steps: 10000000
    Trial move style: swap
    -- MCMC Step: 00000000 	Time(s): 0.597828
    -- MCMC Step: 00010000 	Time(s): 2043.794483
    -- MCMC Step: 00020000 	Time(s): 4261.887836
    -- MCMC Step: 00030000 	Time(s): 6378.013496
    -- MCMC Step: 00040000 	Time(s): 8475.096643
    -- MCMC Step: 00050000 	Time(s): 11025.624251
    -- MCMC Step: 00060000 	Time(s): 14387.560624
    -- MCMC Step: 00070000 	Time(s): 17759.369870
    -- MCMC Step: 00080000 	Time(s): 21326.935119
    -- MCMC Step: 00090000 	Time(s): 24918.724140
    -- MCMC Step: 00100000 	Time(s): 28358.850446
    -- MCMC Step: 00110000 	Time(s): 31706.544639
    -- MCMC Step: 00120000 	Time(s): 35061.436395
    -- MCMC Step: 00130000 	Time(s): 38432.244410
    -- MCMC Step: 00140000 	Time(s): 41785.372314
    -- MCMC Step: 00150000 	Time(s): 45121.520942
    -- MCMC Step: 00160000 	Time(s): 48478.330113
    -- MCMC Step: 00170000 	Time(s): 51859.223752
    -- MCMC Step: 00180000 	Time(s): 55265.886300
    -- MCMC Step: 00190000 	Time(s): 58712.127706
    -- MCMC Step: 00200000 	Time(s): 62166.004644
    -- MCMC Step: 00210000 	Time(s): 65635.564864
    -- MCMC Step: 00220000 	Time(s): 69130.924363
    -- MCMC Step: 00230000 	Time(s): 72607.947753
    -- MCMC Step: 00240000 	Time(s): 75989.078748
    -- MCMC Step: 00250000 	Time(s): 79351.579399
    -- MCMC Step: 00260000 	Time(s): 82836.321289
    -- MCMC Step: 00270000 	Time(s): 86816.477519
    -- MCMC Step: 00280000 	Time(s): 90752.075967
    -- MCMC Step: 00290000 	Time(s): 94684.955950
    -- MCMC Step: 00300000 	Time(s): 98772.418779
    -- MCMC Step: 00310000 	Time(s): 102908.366504
    -- MCMC Step: 00320000 	Time(s): 107051.296724
    -- MCMC Step: 00330000 	Time(s): 111471.926446
    -- MCMC Step: 00340000 	Time(s): 115953.222271
    -- MCMC Step: 00350000 	Time(s): 120608.315937
    -- MCMC Step: 00360000 	Time(s): 125344.486881
    -- MCMC Step: 00370000 	Time(s): 130110.147498
    -- MCMC Step: 00380000 	Time(s): 134873.332019
    -- MCMC Step: 00390000 	Time(s): 139568.693147
    -- MCMC Step: 00400000 	Time(s): 144281.575590
    -- MCMC Step: 00410000 	Time(s): 149000.269557
    -- MCMC Step: 00420000 	Time(s): 153746.357323
    -- MCMC Step: 00430000 	Time(s): 158428.912002
    -- MCMC Step: 00440000 	Time(s): 163085.122227
    -- MCMC Step: 00450000 	Time(s): 167799.352094
    -- MCMC Step: 00460000 	Time(s): 172441.794621
    -- MCMC Step: 00470000 	Time(s): 176993.704777
    -- MCMC Step: 00480000 	Time(s): 181560.756729
    -- MCMC Step: 00490000 	Time(s): 185930.984436
    -- MCMC Step: 00500000 	Time(s): 190545.537508
    -- MCMC Step: 00510000 	Time(s): 195015.544900
