Executed on: 2023-09-18 02:40:50.370401
PFP client version: 1.11.0
Model version: v3.0.0
Calculation mode: CRYSTAL_PLUS_D3
Method type: PFVM
****************************************
Examining NCM811 ...
  Importing initial (known) stable/unstable structures ...
    Supercell size: 5 × 4 × 1
    Number of atoms (perfect): 240
    Cell parameters (a, b, c): 2.874400, 2.878125, 14.114900
    Structural parameter range (min, max): 0.000000, 0.500000
    Number of discrete structural parameters: 60
    Structural parameter spacing: 0.008475
  Importing energies and 1-D DOS from previous WL simlation ...
    Energy range (min, max): -1058.411566, -1054.392101
    Number of energy states: 60
    Energy spacing (eV): 0.068127
  Performing multicanonical Monte Carlo (MCMC) sampling ...
    Number of NNP-neighbors: 11400
    Maximum number of Monte Carlo steps: 10000000
    Trial move style: swap
    -- MCMC Step: 00000000 	Time(s): 0.518225
    -- MCMC Step: 00010000 	Time(s): 1589.969699
    -- MCMC Step: 00020000 	Time(s): 3230.030525
    -- MCMC Step: 00030000 	Time(s): 4864.172792
    -- MCMC Step: 00040000 	Time(s): 6461.394898
    -- MCMC Step: 00050000 	Time(s): 8136.917731
    -- MCMC Step: 00060000 	Time(s): 9740.378283
    -- MCMC Step: 00070000 	Time(s): 11371.955357
    -- MCMC Step: 00080000 	Time(s): 13122.409826
    -- MCMC Step: 00090000 	Time(s): 14732.668381
    -- MCMC Step: 00100000 	Time(s): 16401.284286
    -- MCMC Step: 00110000 	Time(s): 18037.665400
    -- MCMC Step: 00120000 	Time(s): 19666.860556
    -- MCMC Step: 00130000 	Time(s): 21395.691527
    -- MCMC Step: 00140000 	Time(s): 23090.208288
    -- MCMC Step: 00150000 	Time(s): 24776.003145
    -- MCMC Step: 00160000 	Time(s): 26439.816050
    -- MCMC Step: 00170000 	Time(s): 28101.200171
    -- MCMC Step: 00180000 	Time(s): 29736.301461
    -- MCMC Step: 00190000 	Time(s): 31425.262663
    -- MCMC Step: 00200000 	Time(s): 33122.403096
    -- MCMC Step: 00210000 	Time(s): 34814.671909
    -- MCMC Step: 00220000 	Time(s): 36533.963929
    -- MCMC Step: 00230000 	Time(s): 38231.327518
    -- MCMC Step: 00240000 	Time(s): 39906.951557
    -- MCMC Step: 00250000 	Time(s): 41545.342776
    -- MCMC Step: 00260000 	Time(s): 43199.684271
    -- MCMC Step: 00270000 	Time(s): 44770.113316
    -- MCMC Step: 00280000 	Time(s): 46374.407312
    -- MCMC Step: 00290000 	Time(s): 48002.715364
    -- MCMC Step: 00300000 	Time(s): 49631.519016
    -- MCMC Step: 00310000 	Time(s): 51255.451726
    -- MCMC Step: 00320000 	Time(s): 52932.368994
    -- MCMC Step: 00330000 	Time(s): 54599.050407
    -- MCMC Step: 00340000 	Time(s): 56215.538696
    -- MCMC Step: 00350000 	Time(s): 57852.854146
    -- MCMC Step: 00360000 	Time(s): 59449.083218
    -- MCMC Step: 00370000 	Time(s): 61081.263571
    -- MCMC Step: 00380000 	Time(s): 62725.940291
    -- MCMC Step: 00390000 	Time(s): 64333.807060
    -- MCMC Step: 00400000 	Time(s): 65948.713022
    -- MCMC Step: 00410000 	Time(s): 67539.339778
    -- MCMC Step: 00420000 	Time(s): 69202.330659
    -- MCMC Step: 00430000 	Time(s): 70828.878999
    -- MCMC Step: 00440000 	Time(s): 72520.332661
    -- MCMC Step: 00450000 	Time(s): 74101.462387
    -- MCMC Step: 00460000 	Time(s): 75698.566158
    -- MCMC Step: 00470000 	Time(s): 77357.773189
    -- MCMC Step: 00480000 	Time(s): 79085.978744
    -- MCMC Step: 00490000 	Time(s): 80761.815305
    -- MCMC Step: 00500000 	Time(s): 82402.694907
    -- MCMC Step: 00510000 	Time(s): 84097.398326
