E: -1074.493909 	BF: 0.355932 	H(E,BF): 0.000000
E: -1074.493909 	BF: 0.364407 	H(E,BF): 0.000000
E: -1074.493909 	BF: 0.372881 	H(E,BF): 0.000000
E: -1074.493909 	BF: 0.381356 	H(E,BF): 0.000000
E: -1074.493909 	BF: 0.389831 	H(E,BF): 0.000000
E: -1074.493909 	BF: 0.398305 	H(E,BF): 0.000000
E: -1074.493909 	BF: 0.406780 	H(E,BF): 0.000000
E: -1074.493909 	BF: 0.415254 	H(E,BF): 0.000000
E: -1074.493909 	BF: 0.423729 	H(E,BF): 0.000000
E: -1074.493909 	BF: 0.432203 	H(E,BF): 0.000000
E: -1074.493909 	BF: 0.440678 	H(E,BF): 0.000000
E: -1074.493909 	BF: 0.449153 	H(E,BF): 0.000000
E: -1074.493909 	BF: 0.457627 	H(E,BF): 0.000000
E: -1074.493909 	BF: 0.466102 	H(E,BF): 0.000000
E: -1074.493909 	BF: 0.474576 	H(E,BF): 0.000000
E: -1074.493909 	BF: 0.483051 	H(E,BF): 0.000000
E: -1074.493909 	BF: 0.491525 	H(E,BF): 0.000000
E: -1074.493909 	BF: 0.500000 	H(E,BF): 0.000000
E: -1074.314924 	BF: 0.000000 	H(E,BF): 0.000000
E: -1074.314924 	BF: 0.008475 	H(E,BF): 2.000000
E: -1074.314924 	BF: 0.016949 	H(E,BF): 4.000000
E: -1074.314924 	BF: 0.025424 	H(E,BF): 94.000000
E: -1074.314924 	BF: 0.033898 	H(E,BF): 594.000000
E: -1074.314924 	BF: 0.042373 	H(E,BF): 3327.000000
E: -1074.314924 	BF: 0.050847 	H(E,BF): 3860.000000
E: -1074.314924 	BF: 0.059322 	H(E,BF): 50006.000000
E: -1074.314924 	BF: 0.067797 	H(E,BF): 7751.000000
E: -1074.314924 	BF: 0.076271 	H(E,BF): 65581.000000
E: -1074.314924 	BF: 0.084746 	H(E,BF): 31739.000000
E: -1074.314924 	BF: 0.093220 	H(E,BF): 5862.000000
E: -1074.314924 	BF: 0.101695 	H(E,BF): 5350.000000
E: -1074.314924 	BF: 0.110169 	H(E,BF): 0.000000
E: -1074.314924 	BF: 0.118644 	H(E,BF): 0.000000
E: -1074.314924 	BF: 0.127119 	H(E,BF): 0.000000
E: -1074.314924 	BF: 0.135593 	H(E,BF): 0.000000
E: -1074.314924 	BF: 0.144068 	H(E,BF): 0.000000
E: -1074.314924 	BF: 0.152542 	H(E,BF): 0.000000
E: -1074.314924 	BF: 0.161017 	H(E,BF): 0.000000
E: -1074.314924 	BF: 0.169492 	H(E,BF): 0.000000
E: -1074.314924 	BF: 0.177966 	H(E,BF): 0.000000
E: -1074.314924 	BF: 0.186441 	H(E,BF): 0.000000
E: -1074.314924 	BF: 0.194915 	H(E,BF): 0.000000
E: -1074.314924 	BF: 0.203390 	H(E,BF): 0.000000
