Executed on: 2023-09-26 01:19:02.921023
PFP client version: 1.11.0
Model version: v3.0.0
Calculation mode: CRYSTAL_PLUS_D3
Method type: PFVM
****************************************
Examining NCM811 ...
  Importing initial (known) stable/unstable structures ...
    Supercell size: 5 × 4 × 1
    Number of atoms (perfect): 240
    Cell parameters (a, b, c): 2.874400, 2.878125, 14.114900
    Structural parameter range (min, max): 0.000000, 0.500000
    Number of discrete structural parameters: 60
    Structural parameter spacing: 0.008475
  Importing energies and 1-D DOS from previous WL simlation ...
    Energy range (min, max): -1058.411566, -1054.392101
    Number of energy states: 60
    Energy spacing (eV): 0.068127
  Performing multicanonical Monte Carlo (MCMC) sampling ...
    Number of NNP-neighbors: 11400
    Maximum number of Monte Carlo steps: 10000000
    Trial move style: swap
    -- MCMC Step: 00000000 	Time(s): 0.774414
    -- MCMC Step: 00010000 	Time(s): 2043.679946
    -- MCMC Step: 00020000 	Time(s): 4254.875863
    -- MCMC Step: 00030000 	Time(s): 6370.400457
    -- MCMC Step: 00040000 	Time(s): 8491.358819
    -- MCMC Step: 00050000 	Time(s): 10999.319788
    -- MCMC Step: 00060000 	Time(s): 14349.867744
    -- MCMC Step: 00070000 	Time(s): 17709.604231
    -- MCMC Step: 00080000 	Time(s): 21304.115404
    -- MCMC Step: 00090000 	Time(s): 24899.402125
    -- MCMC Step: 00100000 	Time(s): 28335.698143
    -- MCMC Step: 00110000 	Time(s): 31681.893179
    -- MCMC Step: 00120000 	Time(s): 35027.362347
    -- MCMC Step: 00130000 	Time(s): 38387.071323
    -- MCMC Step: 00140000 	Time(s): 41726.399031
    -- MCMC Step: 00150000 	Time(s): 45057.422010
    -- MCMC Step: 00160000 	Time(s): 48417.528586
    -- MCMC Step: 00170000 	Time(s): 51781.647982
    -- MCMC Step: 00180000 	Time(s): 55169.345686
    -- MCMC Step: 00190000 	Time(s): 58597.781107
    -- MCMC Step: 00200000 	Time(s): 62041.342788
    -- MCMC Step: 00210000 	Time(s): 65480.931860
    -- MCMC Step: 00220000 	Time(s): 68959.375140
    -- MCMC Step: 00230000 	Time(s): 72412.930705
    -- MCMC Step: 00240000 	Time(s): 75801.132413
    -- MCMC Step: 00250000 	Time(s): 79132.055015
    -- MCMC Step: 00260000 	Time(s): 82593.332590
    -- MCMC Step: 00270000 	Time(s): 86504.526165
    -- MCMC Step: 00280000 	Time(s): 90504.059429
    -- MCMC Step: 00290000 	Time(s): 94423.984806
    -- MCMC Step: 00300000 	Time(s): 98475.725515
    -- MCMC Step: 00310000 	Time(s): 102589.032713
    -- MCMC Step: 00320000 	Time(s): 106732.282979
    -- MCMC Step: 00330000 	Time(s): 111139.688184
    -- MCMC Step: 00340000 	Time(s): 115581.623348
    -- MCMC Step: 00350000 	Time(s): 120256.950785
    -- MCMC Step: 00360000 	Time(s): 124973.231385
    -- MCMC Step: 00370000 	Time(s): 129755.980831
    -- MCMC Step: 00380000 	Time(s): 134509.567901
    -- MCMC Step: 00390000 	Time(s): 139198.954518
    -- MCMC Step: 00400000 	Time(s): 143931.215183
    -- MCMC Step: 00410000 	Time(s): 148640.346593
    -- MCMC Step: 00420000 	Time(s): 153380.805083
    -- MCMC Step: 00430000 	Time(s): 158073.956761
    -- MCMC Step: 00440000 	Time(s): 162728.055766
    -- MCMC Step: 00450000 	Time(s): 167425.657902
    -- MCMC Step: 00460000 	Time(s): 172059.975535
    -- MCMC Step: 00470000 	Time(s): 176624.834727
    -- MCMC Step: 00480000 	Time(s): 181181.110568
    -- MCMC Step: 00490000 	Time(s): 185568.879807
    -- MCMC Step: 00500000 	Time(s): 190114.550213
    -- MCMC Step: 00510000 	Time(s): 194600.628700
