Executed on: 2023-09-18 23:00:54.420739
PFP client version: 1.11.0
Model version: v3.0.0
Calculation mode: CRYSTAL_PLUS_D3
Method type: PFVM
****************************************
Examining NCM622 ...
  Importing initial (known) stable/unstable structures ...
    Supercell size: 5 × 4 × 1
    Number of atoms (perfect): 240
    Cell parameters (a, b, c): 2.873440, 2.877225, 14.130600
    Structural parameter range (min, max): 0.000000, 0.500000
    Number of discrete structural parameters: 60
    Structural parameter spacing: 0.008475
  Importing energies and 1-D DOS from previous WL simlation ...
    Energy range (min, max): -1075.388829, -1064.828767
    Number of energy states: 60
    Energy spacing (eV): 0.178984
  Performing multicanonical Monte Carlo (MCMC) sampling ...
    Number of NNP-neighbors: 11400
    Maximum number of Monte Carlo steps: 10000000
    Trial move style: swap
    -- MCMC Step: 00000000 	Time(s): 0.575827
    -- MCMC Step: 00010000 	Time(s): 1519.332468
    -- MCMC Step: 00020000 	Time(s): 3023.065352
    -- MCMC Step: 00030000 	Time(s): 4566.989670
    -- MCMC Step: 00040000 	Time(s): 6137.499626
    -- MCMC Step: 00050000 	Time(s): 7674.148013
    -- MCMC Step: 00060000 	Time(s): 9178.638337
    -- MCMC Step: 00070000 	Time(s): 10752.236085
    -- MCMC Step: 00080000 	Time(s): 12325.820054
    -- MCMC Step: 00090000 	Time(s): 13924.615048
    -- MCMC Step: 00100000 	Time(s): 15434.382741
    -- MCMC Step: 00110000 	Time(s): 17000.524348
    -- MCMC Step: 00120000 	Time(s): 18620.047113
    -- MCMC Step: 00130000 	Time(s): 20423.914591
    -- MCMC Step: 00140000 	Time(s): 22394.137462
    -- MCMC Step: 00150000 	Time(s): 24295.617507
    -- MCMC Step: 00160000 	Time(s): 26315.537679
    -- MCMC Step: 00170000 	Time(s): 28603.590677
    -- MCMC Step: 00180000 	Time(s): 30906.695725
    -- MCMC Step: 00190000 	Time(s): 33225.563174
    -- MCMC Step: 00200000 	Time(s): 35535.920810
    -- MCMC Step: 00210000 	Time(s): 37891.355998
    -- MCMC Step: 00220000 	Time(s): 40265.836494
    -- MCMC Step: 00230000 	Time(s): 42852.228364
    -- MCMC Step: 00240000 	Time(s): 45391.037130
    -- MCMC Step: 00250000 	Time(s): 47945.248080
    -- MCMC Step: 00260000 	Time(s): 50487.039038
    -- MCMC Step: 00270000 	Time(s): 53076.362936
    -- MCMC Step: 00280000 	Time(s): 55665.775431
    -- MCMC Step: 00290000 	Time(s): 58275.592986
    -- MCMC Step: 00300000 	Time(s): 60972.706926
    -- MCMC Step: 00310000 	Time(s): 63672.721192
    -- MCMC Step: 00320000 	Time(s): 66335.054483
    -- MCMC Step: 00330000 	Time(s): 68982.107522
    -- MCMC Step: 00340000 	Time(s): 71535.223964
    -- MCMC Step: 00350000 	Time(s): 74091.856121
    -- MCMC Step: 00360000 	Time(s): 76650.168691
    -- MCMC Step: 00370000 	Time(s): 79133.213027
    -- MCMC Step: 00380000 	Time(s): 81618.559157
    -- MCMC Step: 00390000 	Time(s): 84002.305937
    -- MCMC Step: 00400000 	Time(s): 86398.007111
    -- MCMC Step: 00410000 	Time(s): 88788.586224
    -- MCMC Step: 00420000 	Time(s): 91207.554396
    -- MCMC Step: 00430000 	Time(s): 93618.045053
    -- MCMC Step: 00440000 	Time(s): 96063.735940
    -- MCMC Step: 00450000 	Time(s): 98521.964419
    -- MCMC Step: 00460000 	Time(s): 100980.515843
    -- MCMC Step: 00470000 	Time(s): 103271.878865
    -- MCMC Step: 00480000 	Time(s): 105410.022718
    -- MCMC Step: 00490000 	Time(s): 107435.597646
    -- MCMC Step: 00500000 	Time(s): 109432.224818
    -- MCMC Step: 00510000 	Time(s): 111528.681697
